"","gene_hgnc","gene","logFC","logCPM","F","PValue","FDR","rank"
"1720","CDC20","CDC20",-0.245864053694397,1.46336620956686,2.64150358996041,0.209421354096271,0.575720115848894,-0.678979036633582
"3573","FBXO5","FBXO5",0.195665952353072,3.63199409639308,7.86949006725335,0.0062163431215966,0.101058420196081,2.20646502192539
"2400","CUL1","CUL1",0.0917822845818391,6.62384572427976,7.4157464097322,0.00782898854695787,0.113925351084935,2.10629434226504
"3820","FZR1","FZR1",-0.199406628968585,4.48635924434502,4.68512032440464,0.0331976164445047,0.248512797538695,-1.47889309708391
"1167","BTRC","BTRC",0.00468899363956474,4.58105308632209,0.00767714277399558,0.930383053998155,0.981289378822606,0.0313382084495509
"12014","VCP","VCP",0.0473875027186103,7.82974621179761,1.76951250780035,0.186960978767756,0.548756297234472,0.728249027015472
"11773","UBC","UBC",-0.0397349760172408,9.78182274022595,0.733070053841325,0.394270346410822,0.746326335203586,-0.404205885555326
"11772","UBB","UBB",0.0203219800786395,9.57969985251039,0.44569957042808,0.506172696650919,0.811991887430737,0.295701284728228
"11757","UBA52","UBA52",0.0207916206105727,9.58109950819946,0.292085774230181,0.590284625708514,0.854565612020596,0.228938528072905
"10752","SYVN1","SYVN1",0.050865386760054,5.3916840766383,1.13081772758425,0.290579235809623,0.663423856573368,0.536735422713461
"9598","SEL1L","SEL1L",0.00033176889637821,6.49020734398713,6.07049831330357e-05,0.993801526714891,0.997990703112295,0.0027003404106275
"9305","RPS27A","RPS27A",0.012516226108759,11.2439580903877,0.155300122025255,0.694496901139071,0.902186874774399,0.158329687753874
"8560","PSMF1","PSMF1",0.0494705296309871,7.21548516357632,2.59385422911971,0.110945267666726,0.434926942776996,0.954891217722728
"8559","PSME4","PSME4",-0.125021148069347,5.49247109580865,3.3656300419201,0.0700295887005372,0.355173307452668,-1.1547184243533
"8557","PSME3","PSME3",0.0833689591192071,6.83946709577174,9.02358635361062,0.00349081116180133,0.0723423214090234,2.45707364405487
"8556","PSME2","PSME2",0.106483808165483,7.91591761747771,3.20756925326335,0.076818303778846,0.36977963303479,1.11453528669988
"8555","PSME1","PSME1",0.0524157320479999,9.20295612573489,2.0126727396118,0.159605949971099,0.512368766874214,0.79695092256267
"8554","PSMD9","PSMD9",0.0910437871917646,6.24154275992761,6.61134971966194,0.0118530545699865,0.141786620952401,1.9261697161566
"8553","PSMD8","PSMD8",0.0928145347862359,7.06232962865649,6.47086281514982,0.0127540230322603,0.146293493189666,1.89435280306348
"8552","PSMD7","PSMD7",0.0379771153384961,7.2258179050928,0.843680694822812,0.360916407813379,0.723762891363868,0.442593373798535
"8551","PSMD6","PSMD6",-0.0321080483226424,7.14789950154236,0.65898689862095,0.419160115894658,0.761484971782859,-0.377620048235514
"8550","PSMD5","PSMD5",-0.0747467978855376,5.49123034719589,2.66871805459707,0.105996048362263,0.427242456684566,-0.974710325362152
"8549","PSMD4","PSMD4",0.0954650777132123,6.75994984357021,4.65135270465194,0.0338213058432669,0.250865523559006,1.47080962827061
"8548","PSMD3","PSMD3",-0.0116950713986379,5.94847973190945,0.0873521989297137,0.768283423948583,0.931812769823048,-0.114478536804517
"8547","PSMD2","PSMD2",0.0606645619694862,7.24356442834445,2.24103950339733,0.138053604557214,0.47977294153968,0.859952249518227
"8546","PSMD14","PSMD14",0.0654884938740354,6.50873830987659,3.06635596987468,0.08349571945776,0.384671695171692,1.07833578875025
"8545","PSMD13","PSMD13",0.101040177092649,7.24112674916876,6.89373763721908,0.0102378250377909,0.130338086337109,1.98979229672084
"8544","PSMD12","PSMD12",-0.112049412438174,6.38424516451031,2.68865092080921,0.104720178323665,0.424674858828666,-0.979969626914543
"8543","PSMD11","PSMD11",0.0157130537791283,6.24482450012567,0.142312012849993,0.706923056330672,0.907288576277923,0.150627853571562
"8542","PSMD10","PSMD10",0.0075196616516575,6.33216911932578,0.0520651813358053,0.820049811858425,0.946231111906006,0.0861597666916338
"8541","PSMD1","PSMD1",0.0809847077104591,6.80079177528487,5.11110100801761,0.0262988836813469,0.217631871973103,1.58006268578098
"8540","PSMC6","PSMC6",0.0369348879275261,6.25291871675011,0.970997564566036,0.327197044496901,0.696329904159374,0.485190627875055
"8539","PSMC5","PSMC5",0.0787765776643728,7.49057217221324,4.43374249603247,0.0381523911031943,0.264843024109585,1.41847823856411
"8538","PSMC4","PSMC4",0.0714644651487197,6.23073588951293,3.74846216561155,0.0561423371691562,0.31968624450226,1.25070951192708
"8536","PSMC3","PSMC3",0.0629410018998639,6.68916442798528,2.55678015546327,0.113491487783612,0.438891319059602,0.945036710693227
"8535","PSMC2","PSMC2",0.0500459081705714,7.3087331669591,1.31281752875871,0.255064974795593,0.626455682016149,0.593349174072878
"8534","PSMC1","PSMC1",0.0536924027857353,7.11483943499384,1.67941223267997,0.198471467126822,0.562668344194988,0.702301919933932
"8533","PSMB9","PSMB9",0.108596910885489,7.92847324016515,2.79938590771629,0.0979361447067732,0.41321397884844,1.00905699614718
"8532","PSMB8","PSMB8",0.0530732724707382,8.06317882744789,2.67573067220518,0.105545217035693,0.425991058197777,0.97656144271702
"8531","PSMB7","PSMB7",0.00322480715152479,6.55916745825094,0.0137730304248609,0.906849707538664,0.972506206799113,0.0424646827249515
"8530","PSMB6","PSMB6",0.0748803045105583,6.63111186295743,2.45519292767014,0.120810879782254,0.452317328546951,0.917893952994427
"8529","PSMB5","PSMB5",0.0508214307679212,5.16285536633525,1.68413483075219,0.197847630016565,0.561962375067026,0.703669147707241
"8528","PSMB4","PSMB4",-0.0546564537207896,7.77474196912575,2.67534233685418,0.105570126578729,0.425991058197777,-0.976458957725143
"8527","PSMB3","PSMB3",0.0686548693256081,7.14224967821127,3.58981810020147,0.061496594429623,0.332732725690467,1.21114893400303
"8526","PSMB2","PSMB2",0.0479071497569033,6.93971086702155,2.95454210444385,0.0892360769247503,0.39490621957338,1.04945953080622
"8525","PSMB10","PSMB10",0.100225806638637,7.66183281401836,3.8173349763132,0.0539767164934516,0.314473177462164,1.26779353793711
"8524","PSMB1","PSMB1",0.00831911927787658,8.402266367536,0.117962916167547,0.732093089019554,0.917211454651855,0.135433692879992
"8523","PSMA8","PSMA8",0.18250762454583,1.97160750254063,1.33983670435355,0.250269033393618,0.623018810225683,0.601592883744802
"8522","PSMA7","PSMA7",0.0886104004791596,8.17928936667608,7.49761494539912,0.00750859687061239,0.111183138797358,2.12444121190175
"8521","PSMA6","PSMA6",0.0612319852289393,7.58562217936883,3.66118686933911,0.0590224669129693,0.326839308837256,1.22898264261139
"8520","PSMA5","PSMA5",0.0678567192285615,6.88311615307094,1.50335729272005,0.223503853689942,0.591979480179587,0.650714984291114
"8519","PSMA4","PSMA4",0.0634836027059039,7.49781981395168,3.09857334961346,0.0819180357049391,0.381451068628921,1.0866204700979
"8517","PSMA3","PSMA3",0.0296791740582913,7.30132666662357,1.04890166335684,0.308633758033966,0.680950313102094,0.510556573003772
"8516","PSMA2","PSMA2",0.0895613942870327,7.91376903382527,6.39926193180535,0.013240562785671,0.149235291936151,1.87809355496302
"8515","PSMA1","PSMA1",0.0476209097362437,8.11564016253408,3.11095749704763,0.0813203207877691,0.37973206300086,1.08980091685049
"7541","OS9","OS9",-0.00328721159611801,7.08240452084159,0.00844208659827235,0.927006512899744,0.980085564594494,-0.0329172146079475
"3248","ERLEC1","ERLEC1",0.0354606849349961,6.45017551694862,0.542474702417562,0.463414314401834,0.789690141465582,0.334030555419341
"2637","DERL2","DERL2",-0.0353226484750741,5.70410823372312,0.544804940069786,0.462458563303294,0.789366417929321,-0.334927174351803
